Iteration;Best Fitness;Average Fitness;Worst Fitness
84;104029;79511;60329
85;104029;89297;60329
86;104029;90612;60329
87;104029;79595;60329
88;104029;86488;60329
89;104029;101161;60329
90;104029;91737;60329
91;104029;83819;60329
92;104029;92454;60329
93;104029;83324;60329
94;104029;64432;60329
95;104029;81946;60329
96;104029;69313;60329
97;104029;84802;60329
98;104029;82196;60329
99;104029;77042;60329
100;104029;62023;60329
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;84472;84472;84472
2;84472;70817;70817
3;84472;79956;70817
4;98428;98428;70817
5;98428;78860;70817
6;98428;76913;70817
7;98428;84145;70817
8;98428;84692;70817
9;98428;89207;70817
10;98428;79191;70817
11;98428;85697;70817
12;98428;82435;70817
13;98428;90526;70817
14;98428;82211;70817
15;98428;83867;70817
16;98428;74128;70817
17;98428;86650;70817
18;98428;79615;70817
19;98428;88904;70817
20;98428;86231;70817
21;98428;81502;70817
22;98428;86599;70817
23;98428;73752;70817
24;98428;78956;70817
25;98428;97168;70817
26;98428;85482;70817
27;98428;84666;70817
28;98428;95517;70817
29;98428;97200;70817
30;98428;77447;70817
31;98428;86647;70817
32;100203;100203;70817
33;100203;96239;70817
34;100203;80908;70817
35;100203;68188;68188
36;100203;88812;68188
37;100203;87684;68188
38;100203;79196;68188
39;100203;96336;68188
40;100203;72108;68188
41;100203;82590;68188
42;100203;98806;68188
43;100203;81010;68188
44;100203;88879;68188
45;100203;99396;68188
46;100203;77078;68188
47;100203;83928;68188
48;100203;76150;68188
49;100203;80972;68188
50;100203;88888;68188
51;100203;81860;68188
52;100203;81501;68188
53;100203;78801;68188
54;100203;99561;68188
55;100203;86646;68188
56;100203;94910;68188
57;100203;88398;68188
58;100203;98597;68188
59;100203;70657;68188
60;100203;84394;68188
61;100203;87255;68188
62;100203;70346;68188
63;100203;90629;68188
64;100203;80877;68188
65;100203;75465;68188
66;100203;71574;68188
67;100203;86437;68188
68;100203;96017;68188
69;100203;93026;68188
70;100203;71814;68188
71;100203;75112;68188
72;100203;76184;68188
73;100203;73581;68188
74;100203;77372;68188
75;100203;82644;68188
76;100203;86590;68188
77;100203;65226;65226
78;100203;79819;65226
79;100203;77055;65226
80;100203;63303;63303
81;100203;81196;63303
82;100203;78979;63303
83;100203;93761;63303
84;100203;81091;63303
85;100203;62324;62324
86;100203;85305;62324
87;100203;84047;62324
88;100203;76102;62324
89;100203;66430;62324
90;100203;85353;62324
91;100203;93673;62324
92;100203;93938;62324
93;100203;81322;62324
94;100203;79020;62324
95;100203;92182;62324
96;100203;80346;62324
97;100203;76259;62324
98;100203;71540;62324
99;100203;97139;62324
100;100203;87225;62324
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;94479;94479;94479
2;94479;94479;94479
3;94479;79195;79195
4;94479;83654;79195
5;94479;81616;79195
6;94479;83410;79195
7;94479;75021;75021
8;94479;79903;75021
9;94479;79605;75021
10;94479;88116;75021
11;94479;90128;75021
12;94479;86490;75021
13;100157;100157;75021
14;100157;92657;75021
15;100157;70351;70351
16;100157;80839;70351
17;100157;82890;70351
18;100157;86286;70351
19;100157;81044;70351
20;100157;90003;70351
21;100157;69229;69229
22;100157;74183;69229
23;100157;96468;69229
24;100157;68475;68475
25;100157;85062;68475
26;100157;72977;68475
27;100157;85704;68475
28;100157;84137;68475
29;100157;75570;68475
30;100157;81180;68475
31;100157;82866;68475
32;100157;76055;68475
33;100157;81869;68475
34;100157;93152;68475
35;100157;89171;68475
36;100157;67179;67179
37;100157;70472;67179
38;100157;77201;67179
39;100157;80532;67179
40;100157;92328;67179
41;100157;84069;67179
42;100157;95256;67179
