Iteration;Best Fitness;Average Fitness;Worst Fitness
48;90101;87664.1;82540
49;90101;87613.3;82540
50;90101;87571.4;82540
51;90101;87512.7;82540
52;90101;87468.5;82540
53;90101;87411.8;82540
54;90101;87362.4;82540
55;90101;87267;82116
56;90101;87214.3;82116
57;90101;87171.7;82116
58;90101;87120.6;82116
59;90101;87100;82116
60;90101;87049;82116
61;90101;87027;82116
62;90101;86989.8;82116
63;90101;87007.8;82116
64;90101;86994.5;82116
65;90101;86968.1;82116
66;90101;86926.1;82116
67;90101;86914.6;82116
68;90101;86905.3;82116
69;90101;86888.1;82116
70;90101;86830.5;82116
71;90101;86747;80900
72;90101;86690.3;80900
73;90101;86619.7;80900
74;90101;86540.2;80736
75;90101;86456.9;80292
76;90101;86363.6;79368
77;90101;86250;77616
78;90101;86121;76190
79;90101;86042.5;76190
80;90101;85983.1;76190
81;90101;85938;76190
82;90101;85908.3;76190
83;90101;85868.9;76190
84;90101;85842.8;76190
85;90101;85806.4;76190
86;90101;85751;76190
87;90101;85689.1;76190
88;90101;85591.5;76190
89;90101;85532.8;76190
90;90101;85486.2;76190
91;90101;85430.8;76190
92;90101;85380.5;76190
93;90101;85337.5;76190
94;90101;85297.6;76190
95;90101;85256.4;76190
96;90101;85209;76190
97;90101;85168.5;76190
98;90101;85138.2;76190
99;90101;85106;76190
100;90101;85068.2;76190
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;90105;179953;90105
2;90105;134048;88143
3;90105;119071;88143
4;90105;111764;88143
5;90105;107176;88143
6;92764;104774;88143
7;92764;102898;88143
8;92764;101448;88143
9;93050;100515;88143
10;93050;99724.4;88143
11;93050;98677.9;88143
12;93050;97664.2;86513
13;93050;96873.7;86513
14;93050;96286.1;86513
15;93050;95923.6;86513
16;93050;95664.8;86513
17;93050;95389.3;86513
18;93050;95106.7;86513
19;93050;94808.5;86513
20;93050;94502.1;86513
21;93050;94215.3;86513
22;93050;93968.5;86513
23;93050;93831.7;86513
24;93050;93748.9;86513
25;93050;93717.8;86513
26;93050;93649.5;86513
27;93050;93571.2;86513
28;93050;93454.1;86513
29;93050;93323.1;86513
30;93050;93209.5;86513
31;93050;93039.8;86513
32;93050;92927.2;86513
33;93050;92831.9;86513
34;93050;92639.2;86280
35;93050;92528.5;86280
36;93050;92396.9;86280
37;93050;92284.4;86280
38;93050;92183.1;86280
39;93050;92095.8;86280
40;93050;92036.4;86280
41;93050;91957.1;86280
42;93050;91922.7;86280
43;93050;91863.1;86280
44;93050;91759.8;86280
45;93050;91686.8;86280
46;93050;91610.3;86280
47;93050;91600.4;86280
48;93050;91559.2;86280
49;93050;91541.3;86280
50;93050;91532.2;86280
51;93050;91537.1;86280
52;93050;91557.4;86280
53;93274;91589.8;86280
54;93274;91614.7;86280
55;93274;91628.1;86280
56;94248;91674.9;86280
57;94395;91722.6;86280
58;95217;91782.8;86280
59;95217;91827.3;86280
60;95217;91854.9;86280
61;95217;91869.8;86280
62;95217;91870.2;86280
63;95217;91850.9;86280
64;95217;91853.6;86280
65;95217;91896.7;86280
66;95693;91954.3;86280
67;95693;91991;86280
68;96095;92051.4;86280
69;96907;92121.8;86280
70;96907;92183.6;86280
71;96907;92201.7;86280
72;96907;92262.2;86280
73;100952;92381.2;86280
74;100952;92480;86280
75;101392;92598.8;86280
76;102154;92724.5;86280
77;102376;92849.9;86280
78;102376;92918.8;86280
79;102376;92978.6;86280
80;102376;93051.6;86280
81;102376;93147;86280
82;102376;93228.3;86280
83;102376;93260.1;86280
84;102376;93355.4;86280
85;102508;93463.1;86280
86;102508;93560.3;86280
87;103088;93669.9;86280
88;103088;93767.5;86280
89;103088;93852;86280
90;103088;93928.1;86280
91;103088;93960.6;86280
92;103088;94031.3;86280
93;103088;94087.1;86280
94;103088;94133.4;86280
95;103088;94187.3;86280
96;103088;94259.6;86280
97;103088;94326.9;86280
98;103088;94407.6;86280
99;103088;94495.2;86280
100;104115;94591.4;86280
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;78510;156549;78510
2;78510;117092;77636
3;78512;104232;77636
4;78979;97919;77636
5;78979;94101.6;77636
6;78979;91410.7;77636
7;78979;89347.9;76971
8;78979;88006.2;76971
9;80689;87193.2;76971
10;81670;86640.9;76971
11;83048;86314.3;76971
12;83048;85804.4;76971
13;83678;85640.8;76971
14;85640;85640.8;76971
15;85640;85502.5;76971
16;85640;85472.3;76971
17;85640;85459.8;76971
18;86021;85490.9;76971
19;86021;85506.3;76971
20;86076;85534.8;76971
21;86964;85602.8;76971
22;86964;85654.5;76971
23;87088;85716.9;76971
24;88073;85815;76971
25;89775;85973.4;76971
26;91019;86167.5;76971
27;91019;86317.9;76971
28;91097;86488.6;76971
29;91097;86609.6;76971
30;91097;86665.3;76971
31;92849;86864.8;76971
32;92849;87038.1;76971
33;92849;87171.2;76971
34;92921;87340.4;76971
35;93358;87512.3;76971
36;95350;87730;76971
37;95350;87917.1;76971
38;95350;88069.6;76971
39;95350;88193.5;76971
40;95350;88334.8;76971
41;95350;88451.4;76971
42;95350;88548.9;76971
43;95350;88637.2;76971
44;95350;88646.7;76971
45;95350;88622.7;76971
46;95350;88623.4;76971
47;95350;88653.4;76971
48;95350;88656.2;76971
49;95350;88670.8;76971
50;95350;88702.2;76971
51;95350;88717.5;76971
52;95350;88754.8;76971
53;95350;88798.1;76971
54;95350;88823.7;76971
55;95350;88833.6;76971
56;95350;88789.9;76971
57;95350;88765;76971
58;95350;88680.6;76971
59;95350;88661;76971
60;95350;88625.5;76971
61;95350;88533.9;76971
62;95350;88503.3;76971
63;95350;88485.7;76971
64;95350;88438.1;76971
65;95350;88378.4;76971
66;95350;88327.5;76971
67;95350;88327.2;76971
68;95350;88365.5;76971
69;95350;88422.8;76971
70;95350;88484.3;76971
71;95350;88548.9;76971
72;95350;88616;76971
73;95350;88633.3;76971
74;95456;88725.5;76971
75;95456;88777.2;76971
76;95456;88853.9;76971
77;96473;88952.8;76971
78;96473;89044.3;76971
79;96819;89142.8;76971
80;96819;89197.6;76971
81;97847;89304.4;76971
82;97847;89405.4;76971
83;97847;89495.3;76971
84;97847;89570.7;76971
85;97847;89650.3;76971
86;97847;89718.5;76971
87;97847;89784;76971
88;97847;89832.2;76971
89;97847;89887.9;76971
90;97847;89923.3;76971
91;97847;89983.2;76971
92;97847;90047.4;76971
93;97847;90118.2;76971
94;97847;90199.2;76971
95;98522;90286.8;76971
96;98522;90363.5;76971
97;98522;90429.6;76971
98;98523;90512.2;76971
99;98523;90585.4;76971
100;98781;90667.4;76971
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;96022;191168;96022
2;96022;143395;95622
3;96022;127537;95622
4;96022;119552;95598
5;96472;114936;95598
6;96472;111711;95584
7;96472;109373;95345
8;96472;107647;95345
9;97270;106494;95345
10;98244;105669;95345
11;100214;105173;95345
12;100414;104777;95345
13;100414;104410;95345
14;100414;104082;95345
15;100414;103824;95345
16;101343;103669;95345
17;103643;103667;95345
18;104531;103715;95345
19;104531;103713;95345
20;104531;103704;95345
21;104704;103751;95345
22;106456;103874;95345
23;109860;104134;95345
24;109860;104316;95345
25;109860;104390;95345
26;109860;104410;95345
27;109860;104403;95345
28;109860;104382;95345
29;109860;104328;95345
30;109860;104163;95345
31;109860;103984;95345
32;109860;103771;95345
33;109860;103559;95345
34;109860;103331;95345
35;109860;103096;95103
36;109860;102912;95103
37;109860;102754;95103
38;109860;102631;95103
39;109860;102477;95103
40;109860;102310;95103
41;109860;102107;93959
42;109860;101918;93959
43;109860;101757;93959
44;109860;101559;93018
45;109860;101406;93018
46;109860;101255;93018
47;109860;101081;93018
48;109860;100928;93018
49;109860;100789;93018
50;109860;100676;93018
51;109860;100546;93018
52;109860;100445;93018
53;109860;100334;93018
54;109860;100290;93018
55;109860;100229;93018
56;109860;100152;93018
57;109860;100080;93018
58;109860;100029;93018
59;109860;99935.3;93018
60;109860;99869.9;93018
61;109860;99803.4;93018
62;109860;99728;93018
63;109860;99638.9;93018
64;109860;99536.3;93018
65;109860;99447.3;93018
66;109860;99366.4;93018
67;109860;99338.6;93018
68;109860;99299.5;93018
69;109860;99244.6;93018
70;109860;99180.4;93018
71;109860;99130;93018
72;109860;99107;93018
73;109860;99096.4;93018
74;109860;99090.8;93018
75;109860;99076;93018
76;109860;99055.5;93018
77;109860;99036.9;93018
78;109860;99003.7;93018
79;109860;98988.8;93018
80;109860;98950.6;93018
81;109860;98919.8;93018
82;109860;98895.3;93018
83;109860;98862.1;93018
84;109860;98832.1;93018
85;109860;98792.6;93018
86;109860;98761.6;93018
87;109860;98734.8;93018
88;109860;98671.2;93018
89;109860;98623.9;93018
90;109860;98574.4;93018
91;109860;98523.7;93018
92;109860;98501.5;93018
93;109860;98457.8;93018
94;109860;98433.2;93018
95;109860;98388.4;93018
96;109860;98334.9;93018
97;109860;98289.7;93018
98;109860;98252.5;93018
99;109860;98219.2;93018
100;109860;98179.9;93018
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;92007;183609;92007
2;92007;137574;91540
3;92344;122498;91540
4;92344;114900;91540
5;93595;110639;91540
6;93595;107632;91540
7;93595;105374;91540
8;93595;103563;90886
9;93595;102104;90430
10;93595;101016;90430
11;93595;100040;90287
12;93595;98938.6;86820
13;93595;98286.2;86820
14;93595;97682.1;86820
15;93595;97181.3;86820
16;93595;96684.8;86820
17;93595;96071.4;86257
18;93595;95491.6;85635
19;93595;94935.3;84922
20;93595;94484.4;84922
21;93595;94142.1;84922
22;93595;93784.5;84922
23;93595;93266.8;81876
24;93595;92838;81876
25;93595;92411.4;81876
26;93595;92074.6;81876
27;93595;91795.7;81876
28;93595;91548.9;81876
29;93595;91327.3;81876
30;93595;91052.5;81876
31;93595;90842.7;81876
32;93595;90621.4;81876
33;93595;90443.1;81876
34;93595;90333.1;81876
35;93595;90259.2;81876
36;93595;90173.4;81876
37;93595;90064.5;81876
38;93595;89940;81876
39;93595;89808.8;81876
40;93595;89649.7;81876
41;93595;89462;81876
42;93595;89255.4;80783
43;93595;89038;79907
44;93595;88857.1;79907
45;93595;88668.4;79907
46;93595;88552.7;79907
47;93595;88423.3;79907
48;93595;88304.7;79907
49;93595;88237.9;79907
50;93595;88190.8;79907
51;93595;88076.8;79907
52;93595;88048.3;79907
53;93595;87964.7;79907
54;93595;87930.6;79907
55;93595;87893;79907
56;93595;87821.5;79907
57;93595;87734.9;79907
58;93595;87695.6;79907
59;93595;87671;79907
60;93595;87653.9;79907
61;93595;87639.5;79907
62;93595;87583.1;79907
63;93595;87515.1;79907
64;93595;87462.8;79907
65;93595;87430.2;79907
66;93595;87402.6;79907
67;93595;87386.2;79907
68;93595;87353.7;79907
69;93595;87343.2;79907
70;93595;87345.5;79907
71;93595;87350.9;79907
72;93595;87352.8;79907
73;93595;87369.5;79907
74;93595;87375.6;79907
75;93595;87388.9;79907
76;93595;87418.5;79907
77;93595;87457.6;79907
78;93595;87487;79907
79;93595;87463.1;79907
80;93595;87431.3;79907
81;93595;87421.5;79907
82;93595;87416.9;79907
83;93595;87414.9;79907
84;93595;87430.6;79907
85;93595;87456.1;79907
86;93595;87466.2;79907
87;93595;87472.6;79907
88;93595;87456.6;79907
89;93595;87456.5;79907
90;93595;87451.8;79907
91;93595;87459.9;79907
92;93595;87476.1;79907
93;93595;87510.3;79907
94;93595;87528.3;79907
95;93595;87537.4;79907
96;93595;87552.3;79907
97;93595;87559.6;79907
98;93595;87546;79907
99;93595;87546.1;79907
100;93595;87549.1;79907
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;82082;163240;82082
2;82082;122224;81207
3;82082;108805;81207
4;82082;101866;81046
5;82914;98075.2;81046
6;82914;95237;81046
7;82914;93403.7;81046
8;82914;92003.5;81046
9;82914;90862.6;81046
10;82914;89779.6;80033
11;82914;88936;80033
12;82914;88309.9;80033
13;82914;87847.5;80033
14;82914;87465.5;80033
15;82914;87107.5;80033
16;83473;86880.3;80033
17;84510;86740.9;80033
18;85610;86678.1;80033
19;86478;86667.5;80033
20;87474;86707.9;80033
21;88187;86778.3;80033
22;88187;86789;80033
23;88187;86717.6;80033
24;88187;86681.9;80033
25;88187;86598.6;80033
26;88187;86597.5;80033
27;88187;86581.6;80033
28;88187;86540.8;80033
29;88187;86481.3;80033
30;88187;86352.5;80033
31;88187;86186;80033
32;88187;86012;80033
33;88187;85874.4;80033
34;88187;85750.7;80033
35;88187;85611.6;80033
36;88187;85535.5;80033
37;88187;85469.5;80033
38;88187;85431.8;80033
39;88187;85385.1;80033
40;88187;85358.9;80033
41;88187;85362.6;80033
42;88187;85380.9;80033
43;88187;85422.1;80033
44;88187;85430.1;80033
